ClickId,ImpressionId,ClickTimestamp,TDID,UID2,PartnerId,AdvertiserId,CampaignId,AdGroupId,CreativeId,DeviceType,OS,Browser,Country,Region,LandingPageUrl,ClickType,IsValid
6de6c51a-dae6-4c40-9837-4046c690cf67,471b34c6-db20-435b-babd-36c14cd7a04b,2024-11-16T11:04:43,TDID_744FE35904B34BB2,UID2_6e68354c089c485da223,partner_2003,adv_travel_brand_001,cmp_travel_newyear,ag_travel_newye_prospecting_display,cr_ag_travel_newye_prospecting_display_1,CTV,FireTV,App,FR,,https://travelease.com/promo,Standard,True
2dfaa498-87eb-46e5-b7f3-2dd4602d0f13,65e6ce6a-7b99-454f-92a1-cc013f8c8660,2024-12-11T01:38:10,TDID_F349DA222A6745B2,UID2_4ecae76b6b4a45c7bda4,partner_9994,adv_tech_brand_001,cmp_tech_product_launch,ag_tech_product_performance_video,cr_ag_tech_product_performance_video_2,Tablet,macOS,Firefox,UK,,https://techgiant.com/promo,Expandable,True
32bf5fee-35c0-4075-a13a-6efe9ab877b9,10f7b887-e70c-4543-95b7-0862f9ece1e0,2024-12-03T23:10:27,TDID_459735E67DD54831,UID2_16202f075f3040a39858,partner_5412,adv_tech_brand_002,cmp_cloud_enterprise,ag_cloud_enterp_retargeting_native,cr_ag_cloud_enterp_retargeting_native_2,CTV,FireTV,App,UK,,https://cloudsoft.com/promo,Expandable,True
8cd5cf8f-a77c-4a93-85c6-2da08c53a38c,cfa26ad5-4f70-4c8d-ade6-6a676727ccb0,2024-11-23T12:17:32,TDID_96231998738F4482,UID2_024a696cb5494752b674,partner_9939,adv_travel_brand_002,cmp_vacation_cruise,ag_vacation_cru_prospecting_display,cr_ag_vacation_cru_prospecting_display_1,Tablet,Windows,Chrome,AU,,https://vacationhub.com/promo,Standard,True
f3ac5b9a-7b62-4caf-91de-fc7246900d07,84918922-5653-4817-adaf-be793fcdb23d,2024-12-12T21:07:22,TDID_D9B1256DA98D4335,UID2_4559be94f85848b98120,partner_1609,adv_tech_brand_001,cmp_tech_holiday_bundle,ag_tech_holiday_performance_display,cr_ag_tech_holiday_performance_display_3,SmartTV,FireTV,App,DE,,https://techgiant.com/promo,VideoCompanion,True
e9a9d669-3b5c-4f87-b128-d9e98f1dbe7a,12866ced-b717-41f5-ae46-c64dfea2dc37,2024-11-23T02:09:28,TDID_B6A1C7E05B6A4ABE,UID2_f3675d85f105467f970b,partner_7821,adv_auto_brand_003,cmp_electra_test_drive,ag_electra_test_prospecting_display,cr_ag_electra_test_prospecting_display_2,Tablet,macOS,Edge,CA,,https://electracar.com/promo,VideoCompanion,True
085035e1-3cc4-4116-9040-7bd63a5c9702,6f64b42a-c3e5-454a-95e6-36a4f935a85c,2024-11-26T13:12:21,TDID_9B8031492A144BC7,UID2_7cee16a65c164f7b8171,partner_7939,adv_finance_brand_001,cmp_bank_savings,ag_bank_savings_retargeting_native,cr_ag_bank_savings_retargeting_native_3,Desktop,macOS,Safari,AU,,https://securebank.com/promo,VideoCompanion,True
80454acd-5715-43df-8cc3-79fe6f0d67a1,ee242ea6-bd56-4c70-b486-f59631d1c492,2024-11-26T06:56:41,TDID_BF4D67C4C8394782,UID2_30b35d7c749a4e3e83b5,partner_1242,adv_tech_brand_001,cmp_tech_holiday_bundle,ag_tech_holiday_prospecting_display,cr_ag_tech_holiday_prospecting_display_2,CTV,tvOS,App,CA,,https://techgiant.com/promo,VideoCompanion,True
9c5a6d52-e155-4afc-b483-2b6d160eecc3,bd872100-6d48-4d0a-8c7b-ac0e1f5f2ba4,2024-11-26T12:59:04,TDID_80660E36EEE44A26,UID2_ee834f38a5f245a9b9a2,partner_7960,adv_finance_brand_001,cmp_bank_mortgage,ag_bank_mortgag_retargeting_display,cr_ag_bank_mortgag_retargeting_display_2,Tablet,Windows,Firefox,AU,,https://securebank.com/promo,Standard,True
19a98d62-45ae-49a7-a8e1-3323c39d1c7c,6dab423a-b784-4ba7-8445-a5a55e6bd617,2024-11-23T20:09:56,TDID_26C708BFEAD54800,UID2_673015ccd97641d597c9,partner_9283,adv_ent_brand_002,cmp_game_launch,ag_game_launch_performance_display,cr_ag_game_launch_performance_display_3,Tablet,macOS,Safari,DE,,https://gamezone.com/promo,Expandable,True
05c2ac19-a8be-4941-84eb-84f8c892f30a,3976243d-295d-4ad1-97df-cdf67fc185b0,2024-11-19T13:22:40,TDID_8B1A4EE4E9EA4CCD,UID2_4a0a4f81674c49d29f49,partner_2900,adv_health_brand_001,cmp_health_enrollment,ag_health_enrol_awareness_ctv,cr_ag_health_enrol_awareness_ctv_1,SmartTV,tvOS,App,UK,,https://healthplus.com/promo,VideoCompanion,True
fbbd25fa-8da1-4d7c-a0ae-19dfc37f0448,93b6e149-7327-410c-878f-037bef217184,2024-12-12T15:22:25,TDID_5AAE4A2F728341BD,UID2_1ad1d126328b46bf8b68,partner_8231,adv_auto_brand_002,cmp_speed_performance,ag_speed_perfor_prospecting_video,cr_ag_speed_perfor_prospecting_video_3,CTV,tvOS,App,UK,,https://speedmotors.com/promo,Expandable,True
46042a60-b802-4414-8083-093e5dff0053,5bd1e4b0-e771-4529-910b-3da001c8bbb5,2024-12-01T04:08:38,TDID_B07F6565AE684932,UID2_a67d8b04be42414789cb,partner_5517,adv_finance_brand_002,cmp_invest_retirement,ag_invest_retir_performance_video,cr_ag_invest_retir_performance_video_1,CTV,Roku,App,UK,,https://investpro.com/promo,Standard,True
0cb18625-a58c-4ac6-9af8-3dcd39b6789b,232debeb-8296-425d-9c74-46c50ec3136a,2024-12-14T12:01:46,TDID_2641319D33984FEF,UID2_99d70bc815ae439187dc,partner_8822,adv_travel_brand_001,cmp_winter_getaway,ag_winter_getaw_prospecting_native,cr_ag_winter_getaw_prospecting_native_1,CTV,Android,App,AU,,https://travelease.com/promo,VideoCompanion,True
b9f10e57-3f16-40f7-8963-3afae84874fe,6104dce2-e702-4456-887b-107a0e803768,2024-12-11T13:06:28,TDID_B9C310D34CEF4665,UID2_40d99295c1e34fc2a41b,partner_6245,adv_finance_brand_001,cmp_bank_mortgage,ag_bank_mortgag_performance_display,cr_ag_bank_mortgag_performance_display_1,Desktop,macOS,Safari,UK,,https://securebank.com/promo,Standard,True
f1a0be11-1523-40a7-b929-d8de79c5c61a,5f3dabd8-1dcb-477e-9ee3-4c346490a24c,2024-12-01T17:29:13,TDID_75E7A2D3642A494E,UID2_ae69d1ab058346c7b314,partner_6610,adv_cpg_brand_001,cmp_fresh_holiday,ag_fresh_holida_retargeting_native,cr_ag_fresh_holida_retargeting_native_2,Tablet,Windows,Chrome,CA,,https://freshfoods.com/promo,Standard,True
675c1797-cca2-4cdc-a23a-cb260a20e8a8,5ec244d4-ae34-4172-92f2-4bbd8d36cd8a,2024-11-21T15:29:33,TDID_A1720D247A954D77,UID2_1b36549c014842c0b16a,partner_7199,adv_retail_brand_001,cmp_holiday_promo_2024,ag_holiday_prom_retargeting_native,cr_ag_holiday_prom_retargeting_native_1,Mobile,iOS,App,UK,,https://retailmax.com/promo,Standard,True
8f194a71-1107-4d62-a45c-21c619798d35,f1548e12-bcf2-4b54-9b2d-3318d6737640,2024-12-11T09:34:13,TDID_D5BCD1972D0640F5,UID2_bf4f11ad5c8a42aa8116,partner_8463,adv_retail_brand_002,cmp_shopsmart_blackfriday,ag_shopsmart_bl_retargeting_native,cr_ag_shopsmart_bl_retargeting_native_1,SmartTV,Android,App,UK,,https://shopsmart.com/promo,VideoCompanion,True
9e01de5f-ef2e-4768-aa9b-65060aa7029f,f3c62679-10b8-456c-9e01-bfbce9a9a0f5,2024-12-11T07:41:54,TDID_EA66532D65734C40,UID2_2b5eb46d5f34418ab137,partner_9112,adv_cpg_brand_002,cmp_clean_newyear,ag_clean_newyea_prospecting_native,cr_ag_clean_newyea_prospecting_native_3,SmartTV,Android,App,UK,,https://cleanhome.com/promo,Expandable,True
4db5be98-022e-4850-8fc4-50d7443e8731,559307f8-aa67-4f24-aa6e-8a9e799559cb,2024-11-23T14:21:56,TDID_6144FC37B04A4E40,UID2_a035f00d09e24346b3db,partner_1002,adv_auto_brand_001,cmp_new_model_launch,ag_new_model_la_awareness_video,cr_ag_new_model_la_awareness_video_2,Mobile,Android,Samsung Internet,US,FL,https://autodrive.com/promo,Expandable,True
0b128bb7-19bc-4ff5-a45a-23b9d118e974,3ffdcbfd-d2c7-4a24-88cd-1ab70a9fb8e0,2024-11-17T05:53:52,TDID_11D625AFD9714DE8,UID2_4d24434d07c04b628ae9,partner_8991,adv_travel_brand_001,cmp_travel_newyear,ag_travel_newye_prospecting_display,cr_ag_travel_newye_prospecting_display_1,SmartTV,FireTV,App,DE,,https://travelease.com/promo,Expandable,True
b0111dd4-9e3b-4728-8da3-efa87ce845c6,2e6a8c39-9461-4056-bdc7-5d2e7c77b245,2024-11-17T14:50:46,TDID_20ABD52C94494701,UID2_22f0e00ab7d242c1b827,partner_6913,adv_ent_brand_002,cmp_game_launch,ag_game_launch_awareness_video,cr_ag_game_launch_awareness_video_1,Tablet,Windows,Safari,UK,,https://gamezone.com/promo,Standard,True
c873d535-47cd-435d-a4d5-2af817e9f44e,95599e34-4b3f-434e-89ef-fc3ee3077b64,2024-12-04T12:41:03,TDID_D2C673D61477418B,UID2_f0c587be23d04332898b,partner_8496,adv_retail_brand_002,cmp_shopsmart_loyalty,ag_shopsmart_lo_performance_display,cr_ag_shopsmart_lo_performance_display_1,CTV,tvOS,App,UK,,https://shopsmart.com/promo,Standard,True
